mpg cylinders displacement horsepower weight acceleration model_year origin car_name
21.0 4 120.0 87.0 2979.0 19.5 72 2 peugeot_504_(sw)
26.0 4 96.0 69.0 2189.0 18.0 72 2 renault_12_(sw)
22.0 4 122.0 86.0 2395.0 16.0 72 1 ford_pinto_(sw)
28.0 4 97.0 92.0 2288.0 17.0 72 3 datsun_510_(sw)
23.0 4 120.0 97.0 2506.0 14.5 72 3 toyouta_corona_mark_ii_(sw)
28.0 4 98.0 80.0 2164.0 15.0 72 1 dodge_colt_(sw)
27.0 4 97.0 88.0 2100.0 16.5 72 3 toyota_corolla_1600_(sw)
13.0 8 350.0 175.0 4100.0 13.0 73 1 buick_century_350
14.0 8 304.0 150.0 3672.0 11.5 73 1 amc_matador
13.0 8 350.0 145.0 3988.0 13.0 73 1 chevrolet_malibu
14.0 8 302.0 137.0 4042.0 14.5 73 1 ford_gran_torino
15.0 8 318.0 150.0 3777.0 12.5 73 1 dodge_coronet_custom
12.0 8 429.0 198.0 4952.0 11.5 73 1 mercury_marquis_brougham
13.0 8 400.0 150.0 4464.0 12.0 73 1 chevrolet_caprice_classic
13.0 8 351.0 158.0 4363.0 13.0 73 1 ford_ltd
14.0 8 318.0 150.0 4237.0 14.5 73 1 plymouth_fury_gran_sedan
13.0 8 440.0 215.0 4735.0 11.0 73 1 chrysler_new_yorker_brougham
12.0 8 455.0 225.0 4951.0 11.0 73 1 buick_electra_225_custom
13.0 8 360.0 175.0 3821.0 11.0 73 1 amc_ambassador_brougham
18.0 6 225.0 105.0 3121.0 16.5 73 1 plymouth_valiant
16.0 6 250.0 100.0 3278.0 18.0 73 1 chevrolet_nova_custom
18.0 6 232.0 100.0 2945.0 16.0 73 1 amc_hornet
18.0 6 250.0 88.0 3021.0 16.5 73 1 ford_maverick
23.0 6 198.0 95.0 2904.0 16.0 73 1 plymouth_duster
26.0 4 97.0 46.0 1950.0 21.0 73 2 volkswagen_super_beetle
11.0 8 400.0 150.0 4997.0 14.0 73 1 chevrolet_impala
12.0 8 400.0 167.0 4906.0 12.5 73 1 ford_country
13.0 8 360.0 170.0 4654.0 13.0 73 1 plymouth_custom_suburb
12.0 8 350.0 180.0 4499.0 12.5 73 1 oldsmobile_vista_cruiser
18.0 6 232.0 100.0 2789.0 15.0 73 1 amc_gremlin
20.0 4 97.0 88.0 2279.0 19.0 73 3 toyota_carina
21.0 4 140.0 72.0 2401.0 19.5 73 1 chevrolet_vega
22.0 4 108.0 94.0 2379.0 16.5 73 3 datsun_610
18.0 3 70.0 90.0 2124.0 13.5 73 3 maxda_rx3
19.0 4 122.0 85.0 2310.0 18.5 73 1 ford_pinto
21.0 6 155.0 107.0 2472.0 14.0 73 1 mercury_capri_v6
26.0 4 98.0 90.0 2265.0 15.5 73 2 fiat_124_sport_coupe
15.0 8 350.0 145.0 4082.0 13.0 73 1 chevrolet_monte_carlo_s
16.0 8 400.0 230.0 4278.0 9.5 73 1 pontiac_grand_prix
29.0 4 68.0 49.0 1867.0 19.5 73 2 fiat_128
24.0 4 116.0 75.0 2158.0 15.5 73 2 opel_manta
20.0 4 114.0 91.0 2582.0 14.0 73 2 audi_100ls
19.0 4 121.0 112.0 2868.0 15.5 73 2 volvo_144ea
15.0 8 318.0 150.0 3399.0 11.0 73 1 dodge_dart_custom
24.0 4 121.0 110.0 2660.0 14.0 73 2 saab_99le
20.0 6 156.0 122.0 2807.0 13.5 73 3 toyota_mark_ii
11.0 8 350.0 180.0 3664.0 11.0 73 1 oldsmobile_omega
20.0 6 198.0 95.0 3102.0 16.5 74 1 plymouth_duster
21.0 6 200.0 ? 2875.0 17.0 74 1 ford_maverick
19.0 6 232.0 100.0 2901.0 16.0 74 1 amc_hornet
15.0 6 250.0 100.0 3336.0 17.0 74 1 chevrolet_nova
31.0 4 79.0 67.0 1950.0 19.0 74 3 datsun_b210
26.0 4 122.0 80.0 2451.0 16.5 74 1 ford_pinto
32.0 4 71.0 65.0 1836.0 21.0 74 3 toyota_corolla_1200
25.0 4 140.0 75.0 2542.0 17.0 74 1 chevrolet_vega
16.0 6 250.0 100.0 3781.0 17.0 74 1 chevrolet_chevelle_malibu_classic
16.0 6 258.0 110.0 3632.0 18.0 74 1 amc_matador
18.0 6 225.0 105.0 3613.0 16.5 74 1 plymouth_satellite_sebring
16.0 8 302.0 140.0 4141.0 14.0 74 1 ford_gran_torino
13.0 8 350.0 150.0 4699.0 14.5 74 1 buick_century_luxus_(sw)
14.0 8 318.0 150.0 4457.0 13.5 74 1 dodge_coronet_custom_(sw)
14.0 8 302.0 140.0 4638.0 16.0 74 1 ford_gran_torino_(sw)
14.0 8 304.0 150.0 4257.0 15.5 74 1 amc_matador_(sw)
29.0 4 98.0 83.0 2219.0 16.5 74 2 audi_fox
26.0 4 79.0 67.0 1963.0 15.5 74 2 volkswagen_dasher
26.0 4 97.0 78.0 2300.0 14.5 74 2 opel_manta
31.0 4 76.0 52.0 1649.0 16.5 74 3 toyota_corona
32.0 4 83.0 61.0 2003.0 19.0 74 3 datsun_710
28.0 4 90.0 75.0 2125.0 14.5 74 1 dodge_colt
24.0 4 90.0 75.0 2108.0 15.5 74 2 fiat_128
26.0 4 116.0 75.0 2246.0 14.0 74 2 fiat_124_tc
24.0 4 120.0 97.0 2489.0 15.0 74 3 honda_civic
26.0 4 108.0 93.0 2391.0 15.5 74 3 subaru
31.0 4 79.0 67.0 2000.0 16.0 74 2 fiat_x1.9
19.0 6 225.0 95.0 3264.0 16.0 75 1 plymouth_valiant_custom
18.0 6 250.0 105.0 3459.0 16.0 75 1 chevrolet_nova
15.0 6 250.0 72.0 3432.0 21.0 75 1 mercury_monarch
15.0 6 250.0 72.0 3158.0 19.5 75 1 ford_maverick
16.0 8 400.0 170.0 4668.0 11.5 75 1 pontiac_catalina
15.0 8 350.0 145.0 4440.0 14.0 75 1 chevrolet_bel_air
16.0 8 318.0 150.0 4498.0 14.5 75 1 plymouth_grand_fury
14.0 8 351.0 148.0 4657.0 13.5 75 1 ford_ltd
17.0 6 231.0 110.0 3907.0 21.0 75 1 buick_century
16.0 6 250.0 105.0 3897.0 18.5 75 1 chevroelt_chevelle_malibu
15.0 6 258.0 110.0 3730.0 19.0 75 1 amc_matador
18.0 6 225.0 95.0 3785.0 19.0 75 1 plymouth_fury
21.0 6 231.0 110.0 3039.0 15.0 75 1 buick_skyhawk
20.0 8 262.0 110.0 3221.0 13.5 75 1 chevrolet_monza_2+2
13.0 8 302.0 129.0 3169.0 12.0 75 1 ford_mustang_ii
29.0 4 97.0 75.0 2171.0 16.0 75 3 toyota_corolla
23.0 4 140.0 83.0 2639.0 17.0 75 1 ford_pinto
20.0 6 232.0 100.0 2914.0 16.0 75 1 amc_gremlin
23.0 4 140.0 78.0 2592.0 18.5 75 1 pontiac_astro
24.0 4 134.0 96.0 2702.0 13.5 75 3 toyota_corona
25.0 4 90.0 71.0 2223.0 16.5 75 2 volkswagen_dasher
24.0 4 119.0 97.0 2545.0 17.0 75 3 datsun_710
18.0 6 171.0 97.0 2984.0 14.5 75 1 ford_pinto
29.0 4 90.0 70.0 1937.0 14.0 75 2 volkswagen_rabbit
19.0 6 232.0 90.0 3211.0 17.0 75 1 amc_pacer
23.0 4 115.0 95.0 2694.0 15.0 75 2 audi_100ls
23.0 4 120.0 88.0 2957.0 17.0 75 2 peugeot_504
22.0 4 121.0 98.0 2945.0 14.5 75 2 volvo_244dl
25.0 4 121.0 115.0 2671.0 13.5 75 2 saab_99le
33.0 4 91.0 53.0 1795.0 17.5 75 3 honda_civic_cvcc
28.0 4 107.0 86.0 2464.0 15.5 76 2 fiat_131
25.0 4 116.0 81.0 2220.0 16.9 76 2 opel_1900
25.0 4 140.0 92.0 2572.0 14.9 76 1 capri_ii
26.0 4 98.0 79.0 2255.0 17.7 76 1 dodge_colt
27.0 4 101.0 83.0 2202.0 15.3 76 2 renault_12tl
17.5 8 305.0 140.0 4215.0 13.0 76 1 chevrolet_chevelle_malibu_classic
16.0 8 318.0 150.0 4190.0 13.0 76 1 dodge_coronet_brougham
15.5 8 304.0 120.0 3962.0 13.9 76 1 amc_matador
14.5 8 351.0 152.0 4215.0 12.8 76 1 ford_gran_torino
22.0 6 225.0 100.0 3233.0 15.4 76 1 plymouth_valiant
22.0 6 250.0 105.0 3353.0 14.5 76 1 chevrolet_nova
24.0 6 200.0 81.0 3012.0 17.6 76 1 ford_maverick
22.5 6 232.0 90.0 3085.0 17.6 76 1 amc_hornet
29.0 4 85.0 52.0 2035.0 22.2 76 1 chevrolet_chevette
24.5 4 98.0 60.0 2164.0 22.1 76 1 chevrolet_woody
29.0 4 90.0 70.0 1937.0 14.2 76 2 vw_rabbit
33.0 4 91.0 53.0 1795.0 17.4 76 3 honda_civic
20.0 6 225.0 100.0 3651.0 17.7 76 1 dodge_aspen_se
18.0 6 250.0 78.0 3574.0 21.0 76 1 ford_granada_ghia
18.5 6 250.0 110.0 3645.0 16.2 76 1 pontiac_ventura_sj
17.5 6 258.0 95.0 3193.0 17.8 76 1 amc_pacer_d/l
29.5 4 97.0 71.0 1825.0 12.2 76 2 volkswagen_rabbit
32.0 4 85.0 70.0 1990.0 17.0 76 3 datsun_b-210
28.0 4 97.0 75.0 2155.0 16.4 76 3 toyota_corolla
26.5 4 140.0 72.0 2565.0 13.6 76 1 ford_pinto
20.0 4 130.0 102.0 3150.0 15.7 76 2 volvo_245
13.0 8 318.0 150.0 3940.0 13.2 76 1 plymouth_volare_premier_v8
19.0 4 120.0 88.0 3270.0 21.9 76 2 peugeot_504
19.0 6 156.0 108.0 2930.0 15.5 76 3 toyota_mark_ii
16.5 6 168.0 120.0 3820.0 16.7 76 2 mercedes-benz_280s
16.5 8 350.0 180.0 4380.0 12.1 76 1 cadillac_seville
13.0 8 350.0 145.0 4055.0 12.0 76 1 chevy_c10
13.0 8 302.0 130.0 3870.0 15.0 76 1 ford_f108
13.0 8 318.0 150.0 3755.0 14.0 76 1 dodge_d100
31.5 4 98.0 68.0 2045.0 18.5 77 3 honda_accord_cvcc
30.0 4 111.0 80.0 2155.0 14.8 77 1 buick_opel_isuzu_deluxe
36.0 4 79.0 58.0 1825.0 18.6 77 2 renault_5_gtl
25.5 4 122.0 96.0 2300.0 15.5 77 1 plymouth_arrow_gs
33.5 4 85.0 70.0 1945.0 16.8 77 3 datsun_f-10_hatchback
17.5 8 305.0 145.0 3880.0 12.5 77 1 chevrolet_caprice_classic
17.0 8 260.0 110.0 4060.0 19.0 77 1 oldsmobile_cutlass_supreme
15.5 8 318.0 145.0 4140.0 13.7 77 1 dodge_monaco_brougham
15.0 8 302.0 130.0 4295.0 14.9 77 1 mercury_cougar_brougham
17.5 6 250.0 110.0 3520.0 16.4 77 1 chevrolet_concours
20.5 6 231.0 105.0 3425.0 16.9 77 1 buick_skylark
19.0 6 225.0 100.0 3630.0 17.7 77 1 plymouth_volare_custom
18.5 6 250.0 98.0 3525.0 19.0 77 1 ford_granada
16.0 8 400.0 180.0 4220.0 11.1 77 1 pontiac_grand_prix_lj
15.5 8 350.0 170.0 4165.0 11.4 77 1 chevrolet_monte_carlo_landau
15.5 8 400.0 190.0 4325.0 12.2 77 1 chrysler_cordoba
16.0 8 351.0 149.0 4335.0 14.5 77 1 ford_thunderbird
29.0 4 97.0 78.0 1940.0 14.5 77 2 volkswagen_rabbit_custom
24.5 4 151.0 88.0 2740.0 16.0 77 1 pontiac_sunbird_coupe
26.0 4 97.0 75.0 2265.0 18.2 77 3 toyota_corolla_liftback
25.5 4 140.0 89.0 2755.0 15.8 77 1 ford_mustang_ii_2+2
30.5 4 98.0 63.0 2051.0 17.0 77 1 chevrolet_chevette
33.5 4 98.0 83.0 2075.0 15.9 77 1 dodge_colt_m/m
30.0 4 97.0 67.0 1985.0 16.4 77 3 subaru_dl
30.5 4 97.0 78.0 2190.0 14.1 77 2 volkswagen_dasher
22.0 6 146.0 97.0 2815.0 14.5 77 3 datsun_810
21.5 4 121.0 110.0 2600.0 12.8 77 2 bmw_320i
21.5 3 80.0 110.0 2720.0 13.5 77 3 mazda_rx-4
43.1 4 90.0 48.0 1985.0 21.5 78 2 volkswagen_rabbit_custom_diesel
36.1 4 98.0 66.0 1800.0 14.4 78 1 ford_fiesta
32.8 4 78.0 52.0 1985.0 19.4 78 3 mazda_glc_deluxe
39.4 4 85.0 70.0 2070.0 18.6 78 3 datsun_b210_gx
36.1 4 91.0 60.0 1800.0 16.4 78 3 honda_civic_cvcc
19.9 8 260.0 110.0 3365.0 15.5 78 1 oldsmobile_cutlass_salon_brougham
19.4 8 318.0 140.0 3735.0 13.2 78 1 dodge_diplomat
20.2 8 302.0 139.0 3570.0 12.8 78 1 mercury_monarch_ghia
19.2 6 231.0 105.0 3535.0 19.2 78 1 pontiac_phoenix_lj
20.5 6 200.0 95.0 3155.0 18.2 78 1 chevrolet_malibu
20.2 6 200.0 85.0 2965.0 15.8 78 1 ford_fairmont_(auto)
25.1 4 140.0 88.0 2720.0 15.4 78 1 ford_fairmont_(man)
20.5 6 225.0 100.0 3430.0 17.2 78 1 plymouth_volare
19.4 6 232.0 90.0 3210.0 17.2 78 1 amc_concord
20.6 6 231.0 105.0 3380.0 15.8 78 1 buick_century_special
20.8 6 200.0 85.0 3070.0 16.7 78 1 mercury_zephyr
18.6 6 225.0 110.0 3620.0 18.7 78 1 dodge_aspen
18.1 6 258.0 120.0 3410.0 15.1 78 1 amc_concord_d/l
19.2 8 305.0 145.0 3425.0 13.2 78 1 chevrolet_monte_carlo_landau
17.7 6 231.0 165.0 3445.0 13.4 78 1 buick_regal_sport_coupe_(turbo)
18.1 8 302.0 139.0 3205.0 11.2 78 1 ford_futura
17.5 8 318.0 140.0 4080.0 13.7 78 1 dodge_magnum_xe
30.0 4 98.0 68.0 2155.0 16.5 78 1 chevrolet_chevette
27.5 4 134.0 95.0 2560.0 14.2 78 3 toyota_corona
27.2 4 119.0 97.0 2300.0 14.7 78 3 datsun_510
30.9 4 105.0 75.0 2230.0 14.5 78 1 dodge_omni
21.1 4 134.0 95.0 2515.0 14.8 78 3 toyota_celica_gt_liftback
23.2 4 156.0 105.0 2745.0 16.7 78 1 plymouth_sapporo
23.8 4 151.0 85.0 2855.0 17.6 78 1 oldsmobile_starfire_sx
23.9 4 119.0 97.0 2405.0 14.9 78 3 datsun_200-sx
20.3 5 131.0 103.0 2830.0 15.9 78 2 audi_5000
17.0 6 163.0 125.0 3140.0 13.6 78 2 volvo_264gl
21.6 4 121.0 115.0 2795.0 15.7 78 2 saab_99gle
16.2 6 163.0 133.0 3410.0 15.8 78 2 peugeot_604sl
31.5 4 89.0 71.0 1990.0 14.9 78 2 volkswagen_scirocco
29.5 4 98.0 68.0 2135.0 16.6 78 3 honda_accord_lx
21.5 6 231.0 115.0 3245.0 15.4 79 1 pontiac_lemans_v6
19.8 6 200.0 85.0 2990.0 18.2 79 1 mercury_zephyr_6
22.3 4 140.0 88.0 2890.0 17.3 79 1 ford_fairmont_4
20.2 6 232.0 90.0 3265.0 18.2 79 1 amc_concord_dl_6
20.6 6 225.0 110.0 3360.0 16.6 79 1 dodge_aspen_6
17.0 8 305.0 130.0 3840.0 15.4 79 1 chevrolet_caprice_classic
17.6 8 302.0 129.0 3725.0 13.4 79 1 ford_ltd_landau
16.5 8 351.0 138.0 3955.0 13.2 79 1 mercury_grand_marquis
18.2 8 318.0 135.0 3830.0 15.2 79 1 dodge_st._regis
16.9 8 350.0 155.0 4360.0 14.9 79 1 buick_estate_wagon_(sw)
15.5 8 351.0 142.0 4054.0 14.3 79 1 ford_country_squire_(sw)
19.2 8 267.0 125.0 3605.0 15.0 79 1 chevrolet_malibu_classic_(sw)
18.5 8 360.0 150.0 3940.0 13.0 79 1 chrysler_lebaron_town_@_country_(sw)
31.9 4 89.0 71.0 1925.0 14.0 79 2 vw_rabbit_custom
34.1 4 86.0 65.0 1975.0 15.2 79 3 maxda_glc_deluxe
35.7 4 98.0 80.0 1915.0 14.4 79 1 dodge_colt_hatchback_custom
27.4 4 121.0 80.0 2670.0 15.0 79 1 amc_spirit_dl
25.4 5 183.0 77.0 3530.0 20.1 79 2 mercedes_benz_300d
23.0 8 350.0 125.0 3900.0 17.4 79 1 cadillac_eldorado
27.2 4 141.0 71.0 3190.0 24.8 79 2 peugeot_504
23.9 8 260.0 90.0 3420.0 22.2 79 1 oldsmobile_cutlass_salon_brougham
34.2 4 105.0 70.0 2200.0 13.2 79 1 plymouth_horizon
34.5 4 105.0 70.0 2150.0 14.9 79 1 plymouth_horizon_tc3
31.8 4 85.0 65.0 2020.0 19.2 79 3 datsun_210
37.3 4 91.0 69.0 2130.0 14.7 79 2 fiat_strada_custom
28.4 4 151.0 90.0 2670.0 16.0 79 1 buick_skylark_limited
28.8 6 173.0 115.0 2595.0 11.3 79 1 chevrolet_citation
26.8 6 173.0 115.0 2700.0 12.9 79 1 oldsmobile_omega_brougham
33.5 4 151.0 90.0 2556.0 13.2 79 1 pontiac_phoenix
41.5 4 98.0 76.0 2144.0 14.7 80 2 vw_rabbit
38.1 4 89.0 60.0 1968.0 18.8 80 3 toyota_corolla_tercel
32.1 4 98.0 70.0 2120.0 15.5 80 1 chevrolet_chevette
37.2 4 86.0 65.0 2019.0 16.4 80 3 datsun_310
28.0 4 151.0 90.0 2678.0 16.5 80 1 chevrolet_citation
26.4 4 140.0 88.0 2870.0 18.1 80 1 ford_fairmont
24.3 4 151.0 90.0 3003.0 20.1 80 1 amc_concord
19.1 6 225.0 90.0 3381.0 18.7 80 1 dodge_aspen
34.3 4 97.0 78.0 2188.0 15.8 80 2 audi_4000
29.8 4 134.0 90.0 2711.0 15.5 80 3 toyota_corona_liftback
31.3 4 120.0 75.0 2542.0 17.5 80 3 mazda_626
37.0 4 119.0 92.0 2434.0 15.0 80 3 datsun_510_hatchback
32.2 4 108.0 75.0 2265.0 15.2 80 3 toyota_corolla
46.6 4 86.0 65.0 2110.0 17.9 80 3 mazda_glc
27.9 4 156.0 105.0 2800.0 14.4 80 1 dodge_colt
40.8 4 85.0 65.0 2110.0 19.2 80 3 datsun_210
44.3 4 90.0 48.0 2085.0 21.7 80 2 vw_rabbit_c_(diesel)
43.4 4 90.0 48.0 2335.0 23.7 80 2 vw_dasher_(diesel)
36.4 5 121.0 67.0 2950.0 19.9 80 2 audi_5000s_(diesel)
30.0 4 146.0 67.0 3250.0 21.8 80 2 mercedes-benz_240d
44.6 4 91.0 67.0 1850.0 13.8 80 3 honda_civic_1500_gl
40.9 4 85.0 ? 1835.0 17.3 80 2 renault_lecar_deluxe
33.8 4 97.0 67.0 2145.0 18.0 80 3 subaru_dl
29.8 4 89.0 62.0 1845.0 15.3 80 2 vokswagen_rabbit
32.7 6 168.0 132.0 2910.0 11.4 80 3 datsun_280-zx
23.7 3 70.0 100.0 2420.0 12.5 80 3 mazda_rx-7_gs
35.0 4 122.0 88.0 2500.0 15.1 80 2 triumph_tr7_coupe
23.6 4 140.0 ? 2905.0 14.3 80 1 ford_mustang_cobra
32.4 4 107.0 72.0 2290.0 17.0 80 3 honda_accord
27.2 4 135.0 84.0 2490.0 15.7 81 1 plymouth_reliant
26.6 4 151.0 84.0 2635.0 16.4 81 1 buick_skylark
25.8 4 156.0 92.0 2620.0 14.4 81 1 dodge_aries_wagon_(sw)
23.5 6 173.0 110.0 2725.0 12.6 81 1 chevrolet_citation
30.0 4 135.0 84.0 2385.0 12.9 81 1 plymouth_reliant
39.1 4 79.0 58.0 1755.0 16.9 81 3 toyota_starlet
39.0 4 86.0 64.0 1875.0 16.4 81 1 plymouth_champ
35.1 4 81.0 60.0 1760.0 16.1 81 3 honda_civic_1300
32.3 4 97.0 67.0 2065.0 17.8 81 3 subaru
37.0 4 85.0 65.0 1975.0 19.4 81 3 datsun_210_mpg
37.7 4 89.0 62.0 2050.0 17.3 81 3 toyota_tercel
34.1 4 91.0 68.0 1985.0 16.0 81 3 mazda_glc_4
34.7 4 105.0 63.0 2215.0 14.9 81 1 plymouth_horizon_4
34.4 4 98.0 65.0 2045.0 16.2 81 1 ford_escort_4w
29.9 4 98.0 65.0 2380.0 20.7 81 1 ford_escort_2h
33.0 4 105.0 74.0 2190.0 14.2 81 2 volkswagen_jetta
34.5 4 100.0 ? 2320.0 15.8 81 2 renault_18i
33.7 4 107.0 75.0 2210.0 14.4 81 3 honda_prelude
32.4 4 108.0 75.0 2350.0 16.8 81 3 toyota_corolla
32.9 4 119.0 100.0 2615.0 14.8 81 3 datsun_200sx
31.6 4 120.0 74.0 2635.0 18.3 81 3 mazda_626
28.1 4 141.0 80.0 3230.0 20.4 81 2 peugeot_505s_turbo_diesel
30.7 6 145.0 76.0 3160.0 19.6 81 2 volvo_diesel
25.4 6 168.0 116.0 2900.0 12.6 81 3 toyota_cressida
24.2 6 146.0 120.0 2930.0 13.8 81 3 datsun_810_maxima
22.4 6 231.0 110.0 3415.0 15.8 81 1 buick_century
26.6 8 350.0 105.0 3725.0 19.0 81 1 oldsmobile_cutlass_ls
20.2 6 200.0 88.0 3060.0 17.1 81 1 ford_granada_gl
17.6 6 225.0 85.0 3465.0 16.6 81 1 chrysler_lebaron_salon
28.0 4 112.0 88.0 2605.0 19.6 82 1 chevrolet_cavalier
27.0 4 112.0 88.0 2640.0 18.6 82 1 chevrolet_cavalier_wagon
34.0 4 112.0 88.0 2395.0 18.0 82 1 chevrolet_cavalier_2-door
31.0 4 112.0 85.0 2575.0 16.2 82 1 pontiac_j2000_se_hatchback
29.0 4 135.0 84.0 2525.0 16.0 82 1 dodge_aries_se
27.0 4 151.0 90.0 2735.0 18.0 82 1 pontiac_phoenix
24.0 4 140.0 92.0 2865.0 16.4 82 1 ford_fairmont_futura
23.0 4 151.0 ? 3035.0 20.5 82 1 amc_concord_dl
36.0 4 105.0 74.0 1980.0 15.3 82 2 volkswagen_rabbit_l
37.0 4 91.0 68.0 2025.0 18.2 82 3 mazda_glc_custom_l
